Damage Type,Amount
Area Plan Crops Only,54452552
Asian Soybean Rust,12865
Cold Wet Weather,111742151
Cold Winter,155502782
Cyclone,79596
Decline in Price,208217531
Drought,801430613
Earthquake,342177
Excess Moisture/Precip/Rain,2842780070
Excess Sun,3256572
Failure Irrig Equip,2140714
Failure Irrig Supply,250649477
Falling Numbers,87113
Federal or State Ordered Destruct,9158
Fire,1078663
Flood,120829047
Freeze,118243521
Frost,40405601
Hail,418792903
Heat,416496757
Hot Wind,18566675
House Burn (Pole Burn),1562353
Hurricane/Tropical Depression,426201
Inability to Prepare Land for Irr,177018
Insects,9495289
Insufficient Chilling Hours,34020
Mycotoxin (Aflatoxin),24858253
Other (Snow-Lightning-Etc.),22314552
Other Causes,199367
Plant Disease,48035764
Tornado,586238
Wildlife,17758484
Wind/Excess Wind,72767651
